[0, 'video_1.mp4', 20.5898, '15:59:10', '2021-05-10', '']
[0, 'video_3.mp4', 20.5898, '15:59:10', '2021-05-10', '']
[0, 'video_2.mp4', 20.5898, '15:59:10', '2021-05-10', '']
[0, 'video.mp4', 20.9114, '15:59:10', '2021-05-10', '']
[0, 'video_1.mp4', 20.9114, '15:59:10', '2021-05-10', '']
[0, 'video_3.mp4', 20.9114, '15:59:10', '2021-05-10', '']
[0, 'video_2.mp4', 20.9114, '15:59:10', '2021-05-10', '']
[0, 'video.mp4', 19.838, '15:59:11', '2021-05-10', '']
[0, 'video_1.mp4', 19.838, '15:59:11', '2021-05-10', '']
[0, 'video_3.mp4', 19.838, '15:59:11', '2021-05-10', '']
[0, 'video_2.mp4', 19.838, '15:59:11', '2021-05-10', '']
[0, 'video.mp4', 19.671, '15:59:11', '2021-05-10', '']
[0, 'video_1.mp4', 19.671, '15:59:11', '2021-05-10', '']
[0, 'video_3.mp4', 19.671, '15:59:11', '2021-05-10', '']
[0, 'video_2.mp4', 19.671, '15:59:11', '2021-05-10', '']
[0, 'video.mp4', 20.4822, '15:59:11', '2021-05-10', '']
[0, 'video_1.mp4', 20.4822, '15:59:11', '2021-05-10', '']
[0, 'video_3.mp4', 20.4822, '15:59:11', '2021-05-10', '']
[0, 'video_2.mp4', 20.4822, '15:59:11', '2021-05-10', '']
[0, 'video.mp4', 19.9707, '15:59:12', '2021-05-10', '']
[0, 'video_1.mp4', 19.9707, '15:59:12', '2021-05-10', '']
[0, 'video_3.mp4', 19.9707, '15:59:12', '2021-05-10', '']
[0, 'video_2.mp4', 19.9707, '15:59:12', '2021-05-10', '']
[0, 'video.mp4', 19.6096, '15:59:12', '2021-05-10', '']
[0, 'video_1.mp4', 19.6096, '15:59:12', '2021-05-10', '']
[0, 'video_3.mp4', 19.6096, '15:59:12', '2021-05-10', '']
[0, 'video_2.mp4', 19.6096, '15:59:12', '2021-05-10', '']
[0, 'video.mp4', 19.9273, '15:59:12', '2021-05-10', '']
[0, 'video_1.mp4', 19.9273, '15:59:12', '2021-05-10', '']
[0, 'video_3.mp4', 19.9273, '15:59:12', '2021-05-10', '']
[0, 'video_2.mp4', 19.9273, '15:59:12', '2021-05-10', '']
[0, 'video.mp4', 20.4938, '15:59:13', '2021-05-10', '']
[0, 'video_1.mp4', 20.4938, '15:59:13', '2021-05-10', '']
[0, 'video_3.mp4', 20.4938, '15:59:13', '2021-05-10', '']
[0, 'video_2.mp4', 20.4938, '15:59:13', '2021-05-10', '']
[0, 'video.mp4', 20.072, '15:59:13', '2021-05-10', '']
[0, 'video_1.mp4', 20.072, '15:59:13', '2021-05-10', '']
[0, 'video_3.mp4', 20.072, '15:59:13', '2021-05-10', '']
[0, 'video_2.mp4', 20.072, '15:59:13', '2021-05-10', '']
[0, 'video.mp4', 19.6237, '15:59:13', '2021-05-10', '']
[0, 'video_1.mp4', 19.6237, '15:59:13', '2021-05-10', '']
[0, 'video_3.mp4', 19.6237, '15:59:13', '2021-05-10', '']
[0, 'video_2.mp4', 19.6237, '15:59:13', '2021-05-10', '']
[0, 'video.mp4', 20.1338, '15:59:14', '2021-05-10', '']
[0, 'video_1.mp4', 20.1338, '15:59:14', '2021-05-10', '']
[0, 'video_3.mp4', 20.1338, '15:59:14', '2021-05-10', '']
[0, 'video_2.mp4', 20.1338, '15:59:14', '2021-05-10', '']
[0, 'video.mp4', 21.1684, '16:11:39', '2021-05-10', '']
[0, 'video_2.mp4', 21.1684, '16:11:39', '2021-05-10', '']
[0, 'video_1.mp4', 21.1684, '16:11:39', '2021-05-10', '']
[0, 'video_3.mp4', 21.1684, '16:11:39', '2021-05-10', '']
[0, 'video_2.mp4', 20.3908, '16:11:39', '2021-05-10', '']
[0, 'video.mp4', 20.3908, '16:11:39', '2021-05-10', '']
[0, 'video_1.mp4', 20.3908, '16:11:39', '2021-05-10', '']
[0, 'video_3.mp4', 20.3908, '16:11:39', '2021-05-10', '']
[0, 'video_2.mp4', 20.4105, '16:11:39', '2021-05-10', '']
[0, 'video.mp4', 20.4105, '16:11:39', '2021-05-10', '']
[0, 'video_1.mp4', 20.4105, '16:11:39', '2021-05-10', '']
[0, 'video_3.mp4', 20.4105, '16:11:39', '2021-05-10', '']
[0, 'video_2.mp4', 19.8913, '16:11:40', '2021-05-10', '']
[0, 'video.mp4', 19.8913, '16:11:40', '2021-05-10', '']

[0, 'video_1.mp4', 19.8913, '16:11:40', '2021-05-10', '']
[0, 'video_2.mp4', 20.5778, '16:11:40', '2021-05-10', '']
